Q4.1,Q90,Q90_4_TEXT,Q91,Q5.1,Q5_9_TEXT,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14,Q16,Q18,Q19,Q20,Q20_1_TEXT,Q21,Q22,Q24,Q25,Q23,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q31,Q33,Q34,Q36,Q37_1,Q37_2,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7,Q39_8,Q39_9,Q40,Q40_7_TEXT,Q41,Q42_1,Q42_2,Q42_3,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q47,Q48,Q67,Q95,Q102,Q93_1,Q93_2,Q58,Q68,Q59,Q60,Q61_1,Q61_2,Q61_3,Q96_1,Q96_2,Q96_3,Q96_4,Q96_5,Q96_6,Q96_7,Q96_8,Q96_9,Q70,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Q65_6,Q65_7,Q65_8,Q65_9,Q66.1,Q66_8_TEXT,Q71,Q67.1,Q84,Q84_8_TEXT,Q88,Q89
35-44,Male,,Yes,Southeast Asian,,Full-time employment,500000,Apartment/condo,Grandview-Woodland,Parent(s),"Children (yours or someone else's),Dependent adult(s)",2,"Dog,Cat",I use drugs multiple times a day,"Cannabis,Hallucinogens,Cocaine",Injection,No,,"At home,At a friend/partner/relative's home,At a safe injection site",Yes,Somewhat concerned,Yes,Put it in a hidden place,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,About half the time,Do everything in secret,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Cannabis,Somewhat concerned,Neither agree nor disagree,Neither agree nor disagree,6,3,5,1,8,7,2,9,4,"I have a prior relationship with the veterinarian or healthcare staff,I am confident in the veterinary or health care staff knowledge of the situation",,Somewhat concerned,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,Somewhat agree,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal",I was afraid to go to treatment and then have someone report it to the authorities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-24,Female,,Prefer not to say,Middle Eastern,,Full-time employment,400000,Rented apartment/condo,Downtown,Partner/spouse,Dependent adult(s),6,"Dog,Cat,Small mammal,Other pet",I use drugs every day,"Hallucinogens,Cocaine",Injection,Yes (please specify),Xanax,At a friend/partner/relative's home,No,Somewhat concerned,Yes,Put it away,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Most of the time,About half the time,About half the time,Most of the time,Most of the time,About half the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Hallucinogens,Somewhat concerned,Neither agree nor disagree,Neither agree nor disagree,5,4,9,2,3,1,7,8,6,"It is open/available at the time of the emergency,I am confident in the veterinary or health care staff knowledge of the situation",,Somewhat concerned,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Discussing patient-vet confidentiality,What to do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-54,Female,,Prefer not to say,Hispanic or Latin American,,Full-time employment,478000,House,West Vancouver,I do not live with other people,No,3,"Dog,Small mammal",I use drugs multiple times a day,Cocaine,Injection,No,,"At home,At a safe injection site",,,No,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Sometimes,About half the time,Most of the time,About half the time,About half the time,About half the time,Living inconvenience,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Cannabis,Quite concerned,Neither agree nor disagree,Neither agree nor disagree,7,4,9,8,5,3,1,6,2,It is convenient/close by,,Quite concerned,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,"Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal",Fear of not knowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-24,Female,,No,"East Asian,Middle Eastern",,"Part-time employment,Student",39999,"Staying with someone else (family, friend)",Dunbar-Southlands,Roommate(s),No,1,Dog,I have used drugs once or twice in the past six months,Hallucinogens,Oral consumption,No,,At a friend/partner/relative's home,No,,Yes,Locked in a cabinet.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,About half the time,About half the time,About half the time,Most of the time,Sometimes,Most of the time,"If my boss knew I was a drug addict, he would probably not sell me the same item, or he would look at me differently.",Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,ecstasy,Moderately concerned,Neither agree nor disagree,Neither agree nor disagree,5,6,3,1,4,2,7,8,9,"It is convenient/close by,I am confident in the veterinary or health care staff knowledge of the situation,The cost of the treatment",,Quite concerned,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Maintaining a friendly demeanor",I was worried that the doctor would think I was experimenting on my pet and taking my dog away.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Male,,No,"Middle Eastern,Southeast Asian",,Full-time employment,89999,House,Riley Park,Partner/spouse,Children (yours or someone else's),1,Cat,I have used drugs once or twice a month for the past six months,Hallucinogens,Oral consumption,No,,"Outside or in a public place,At a safe injection site",No,Extremely concerned,Yes,"Because there are children in the family, usually do not put at home, will be put outside in a relatively safe place.",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Sometimes,Sometimes,Most of the time,About half the time,About half the time,Always,"Especially the problem of eating, if the business know drug use, it is likely to reject you directly.",Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,Hallucinogens,Somewhat disagree,Somewhat disagree,Called a drug overdose helpline (ex. National overdose response service),Treated at the vet/veterinary hospital,I was confident in the veterinary or healthcare staff knowledge of the situation,No,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat good,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,"Using respectful language,Avoiding non-incriminatory questions,Maintaining a friendly demeanor",,Neither agree nor disagree,"First of all, the doctor did not discriminate against me. He gave my pet a very careful examination and told me what to do next.",,,,
25-34,Male,,No,White or European descent,,Full-time employment,120000,House,Fairview,Partner/spouse,Children (yours or someone else's),1,Dog,I use drugs once a week,Cannabis,Smoking/inhalation,Yes (please specify),morphine,At a safe injection site,No,Quite concerned,Yes,It's in a little locker I made myself,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Sometimes,About half the time,About half the time,Most of the time,About half the time,About half the time,I find it distancing when people come to my house to find out I'm using drugs,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,hemp,Moderately concerned,Somewhat agree,Neither agree nor disagree,1,5,2,4,3,8,6,7,9,"It is open/available at the time of the emergency,I have a prior relationship with the veterinarian or healthcare staff,I am confident in the veterinary or health care staff knowledge of the situation",,Moderately concerned,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,"Avoiding non-incriminatory questions,Discussing patient-vet confidentiality,Providing assurance that accidents happen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Female,,No,"Hispanic or Latin American,White or European descent",,Full-time employment,20000,"Staying with someone else (family, friend)",Fairview,Partner/spouse,Children (yours or someone else's),1,Dog,I have used drugs once or twice in the past six months,Cannabis,Smoking/inhalation,No,,At a friend/partner/relative's home,No,Somewhat concerned,Yes,Keep it hidden,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Sometimes,About half the time,Sometimes,About half the time,Sometimes,About half the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Moderately concerned,Neither agree nor disagree,Somewhat agree,1,2,6,9,5,4,8,7,3,"It is convenient/close by,I have a prior relationship with the veterinarian or healthcare staff",,Moderately concerned,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,"Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Female,,No,White or European descent,,Full-time employment,30000,House,Coquitlam,I do not live with other people,No,2,Dog,I have used drugs once or twice in the past six months,"Cannabis,Hallucinogens",Smoking/inhalation,No,,At home,,,Yes,"I put things under my bed or somewhere private.
",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Sometimes,About half the time,Sometimes,Sometimes,Sometimes,About half the time,"I was high on pot once, and I got robbed of my money.",Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,Hallucinogens,Neither agree nor disagree,Neither agree nor disagree,Called a drug overdose helpline (ex. National overdose response service),Treated at home with advice from a veterinarian,It was convenient/close by,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither good nor bad,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Using respectful language,Avoiding non-incriminatory questions",,Somewhat agree,"I want the vet to treat the animal and me right, and not treat my pet differently because of my drug use.",,,,
25-34,Male,,No,White or European descent,,Full-time employment,500000,"Staying with someone else (family, friend)",West End,Parent(s),No,1,Cat,I use drugs once a week,Cannabis,Smoking/inhalation,Yes (please specify),,"At home,At a friend/partner/relative's home",,,Yes,I keep my medication in a locked drawer in my own room,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Always,Always,Most of the time,Most of the time,Always,Most of the time,The nurse discriminated against me when I was in the hospital!,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,hemp,Quite concerned,Neither agree nor disagree,Somewhat agree,3,7,5,6,8,1,9,4,2,"It is convenient/close by,I have a prior relationship with the veterinarian or healthcare staff",,Quite concerned,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Providing assurance that accidents happen",I hope the vet can treat my pet without prejudice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Male,,No,Hispanic or Latin American,,Full-time employment,,"Staying with someone else (family, friend)",Fairview,Partner/spouse,Children (yours or someone else's),1,Dog,I have used drugs once or twice in the past six months,Inhalants,Smoking/inhalation,No,,At a friend/partner/relative's home,No,Extremely concerned,Yes,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Extremely concerned,Somewhat agree,Neither agree nor disagree,6,5,1,3,8,7,9,4,2,The cost of the treatment,,Quite concerned,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Male,,Yes,Black,,Part-time employment,6000,Rented apartment/condo,Grandview-Woodland,Roommate(s),No,2,Cat,I have used drugs once or twice a month for the past six months,"Hallucinogens,Inhalants","Smoking/inhalation,Oral consumption",No,,At home,Yes,,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Most of the time,About half the time,About half the time,Most of the time,About half the time,Most of the time,,Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,Inhalants,Neither agree nor disagree,Somewhat agree,Went to a local veterinary clinic,Treated at the vet/veterinary hospital,"It was convenient/close by,I had a prior relationship with the veterinarian or healthcare staff",No,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither good nor bad,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Emphasizing a commitment to helping your animal,Maintaining a friendly demeanor",,Somewhat agree,,,,,
25-34,Male,,No,Black,,Part-time employment,16000,Rented apartment/condo,North Vancouver,Roommate(s),Dependent adult(s),1,Dog,I have used drugs once or twice a month for the past six months,"Cannabis,Hallucinogens,Amphetamines,Opioids,Steroids","Smoking/inhalation,Oral consumption",Yes (please specify),Xanax,At home,No,Somewhat concerned,Yes,It’s in a safe,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,Always,Always,"People look at me differently, and don’t take most of what I say seriously ",Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,Cannabis,Somewhat agree,Somewhat agree,Researched treatment online and/or treat your animal at home,Treated at the vet/veterinary hospital,"It was open/available at the time of the emergency,It was convenient/close by,I had a prior relationship with the veterinarian or healthcare staff",Yes,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat good,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",,Strongly agree,"Was asked, the exact drugs my dog toke, where he got it from, If there’s any junky around or my roommate uses drugs ",,,,
25-34,Male,,No,"Hispanic or Latin American,White or European descent",,Full-time employment,100000,Rented apartment/condo,West End,Roommate(s),No,1,Cat,I use drugs once a week,"Cannabis,Hallucinogens","Smoking/inhalation,Injection,Oral consumption",No,,At home,Yes,,Yes,I locked it in a metal box.And put the box in a hidden place.,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,About half the time,Most of the time,About half the time,Most of the time,Always,Sometimes,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Extremely concerned,Somewhat agree,Neither agree nor disagree,1,2,3,5,4,6,9,8,7,"It is open/available at the time of the emergency,I have a prior relationship with the veterinarian or healthcare staff",,Quite concerned,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"Using respectful language,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Male,,No,Hispanic or Latin American,,Full-time employment,100000,House,Downtown,Partner/spouse,Children (yours or someone else's),1,Dog,I have used drugs once or twice a month for the past six months,Cannabis,Smoking/inhalation,Yes (please specify),,"At home,At a friend/partner/relative's home",No,Extremely concerned,No,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,About half the time,Most of the time,About half the time,Most of the time,About half the time,About half the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,hemp,Extremely concerned,Neither agree nor disagree,Somewhat agree,3,9,1,5,4,6,2,7,8,I am confident in the veterinary or health care staff knowledge of the situation,,Extremely concerned,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Female,,No,Hispanic or Latin American,,Full-time employment,110000,House,Downtown,Partner/spouse,Children (yours or someone else's),2,Dog,I have used drugs once or twice in the past six months,Cannabis,Smoking/inhalation,Yes (please specify),,"At home,At a friend/partner/relative's home",No,Quite concerned,No,,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Most of the time,Most of the time,About half the time,About half the time,Most of the time,About half the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,hemp,Extremely concerned,Neither agree nor disagree,Somewhat agree,3,4,5,6,1,8,7,9,2,I am confident in the veterinary or health care staff knowledge of the situation,,Extremely concerned,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,"Using respectful language,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Male,,No,Hispanic or Latin American,,Full-time employment,95000,House,Downtown,Partner/spouse,Children (yours or someone else's),1,Dog,I have used drugs once or twice a month for the past six months,Cannabis,Smoking/inhalation,Yes (please specify),,"At home,At a friend/partner/relative's home",,Extremely concerned,No,,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,About half the time,Most of the time,About half the time,,Most of the time,About half the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,hemp,Extremely concerned,Somewhat agree,Somewhat agree,4,5,9,1,8,2,3,7,6,I have a prior relationship with the veterinarian or healthcare staff,,Extremely concerned,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Male,,No,"Hispanic or Latin American,White or European descent",,"Financial aid/Benefits,Unemployed",50000,"Staying with someone else (family, friend)",Delta,Partner/spouse,No,2,Dog,I have used drugs once or twice a month for the past six months,"Hallucinogens,Amphetamines,Depressants,Inhalants","Smoking/inhalation,Snorting,Injection,Oral consumption",No,,"At home,At a safe injection site",Yes,,Yes,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,About half the time,About half the time,Never,Never,About half the time,Sometimes,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Somewhat concerned,Somewhat agree,Somewhat agree,2,1,5,8,9,4,6,3,7,"It is convenient/close by,I have a prior relationship with the veterinarian or healthcare staff,I am confident in the veterinary or health care staff knowledge of the situation",,Quite concerned,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,"Using respectful language,Avoiding non-incriminatory questions,Maintaining a friendly demeanor,Providing assurance that accidents happen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Male,,No,Black,,Full-time employment,32000,Rented apartment/condo,Kitsilano,Parent(s),No,1,Dog,I have used drugs once or twice a month for the past six months,Cannabis,Smoking/inhalation,No,,At home,No,,Yes,I locked them in the closet.,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Sometimes,Most of the time,Always,Most of the time,About half the time,Most of the time,"People are always looking at me with defensive eyes, which makes me uncomfortable.",Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,Cannabis,Strongly disagree,Strongly disagree,Called a veterinary clinic or hospital,Treated at the vet/veterinary hospital,I was confident in the veterinary or healthcare staff knowledge of the situation,Yes,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat bad,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",,Strongly agree,"They treated my dog first and then questioned me in detail after he was out of danger. In the end, they didn't report me, which made me very happy.",,,,
,Male,,No,"Middle Eastern,White or European descent",,Piecework/contract work,,Rented apartment/condo,,Partner/spouse,Children (yours or someone else's),,"Cat,Small mammal",I use drugs multiple times a week,"Hallucinogens,Inhalants",Snorting,Yes (please specify),,At a friend/partner/relative's home,Yes,,,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,About half the time,Sometimes,About half the time,Most of the time,About half the time,Most of the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Extremely concerned,Neither agree nor disagree,Somewhat agree,8,3,1,5,6,4,2,7,9,"It is convenient/close by,I DO NOT have a prior relationship with the veterinarian of health care staff",,Quite concerned,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,"Using respectful language,Avoiding non-incriminatory questions,Maintaining a friendly demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
